Dart_MT,dbo,OSUSR_13U_DATATYPE,BASE TABLE,Dart_MT,dbo,OSUSR_13U_DATATYPE,OBJECT,3,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_13U_EVENT,BASE TABLE,Dart_MT,dbo,OSUSR_13U_EVENT,NAME,1,NULL,NO,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL,dbo,OSUSR_13U_EVENT,NAME
Dart_MT,dbo,OSUSR_13U_FILTERTYPE,BASE TABLE,Dart_MT,dbo,OSUSR_13U_FILTERTYPE,ID,1,NULL,NO,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL,dbo,OSUSR_13U_FILTERTYPE,ID
Dart_MT,dbo,OSUSR_13U_FILTERTYPE,BASE TABLE,Dart_MT,dbo,OSUSR_13U_FILTERTYPE,LABEL,2,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_13U_FILTERTYPE,BASE TABLE,Dart_MT,dbo,OSUSR_13U_FILTERTYPE,OBJECT,3,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_13U_GRIDCONFIGURATIONS,BASE TABLE,Dart_MT,dbo,OSUSR_13U_GRIDCONFIGURATIONS,ID,1,NULL,NO,bigint,NULL,NULL,19,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dbo,OSUSR_13U_GRIDCONFIGURATIONS,ID
Dart_MT,dbo,OSUSR_13U_GRIDCONFIGURATIONS,BASE TABLE,Dart_MT,dbo,OSUSR_13U_GRIDCONFIGURATIONS,CONFIGURATIONFILE,2,NULL,YES,varbinary,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_13U_GRIDCONFIGURATIONS,BASE TABLE,Dart_MT,dbo,OSUSR_13U_GRIDCONFIGURATIONS,USERID,3,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_13U_GRIDCONFIGURATIONS,BASE TABLE,Dart_MT,dbo,OSUSR_13U_GRIDCONFIGURATIONS,GRIDID,4,NULL,YES,nvarchar,500,1000,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_13U_GRIDCONFIGURATIONS,BASE TABLE,Dart_MT,dbo,OSUSR_13U_GRIDCONFIGURATIONS,SCREENID,5,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_13U_GRIDCONFIGURATIONS,BASE TABLE,Dart_MT,dbo,OSUSR_13U_GRIDCONFIGURATIONS,ESPACEID,6,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_13U_GRIDCONFIGURATIONS,BASE TABLE,Dart_MT,dbo,OSUSR_13U_GRIDCONFIGURATIONS,CREATEDON,7,NULL,YES,datetime,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_13U_GRIDCONFIGURATIONS,BASE TABLE,Dart_MT,dbo,OSUSR_13U_GRIDCONFIGURATIONS,UPDATEDON,8,NULL,YES,datetime,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_13U_HTTPMETHOD,BASE TABLE,Dart_MT,dbo,OSUSR_13U_HTTPMETHOD,METHOD,1,NULL,NO,nvarchar,10,20,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL,dbo,OSUSR_13U_HTTPMETHOD,METHOD
Dart_MT,dbo,OSUSR_13U_MESSAGESOURCE,BASE TABLE,Dart_MT,dbo,OSUSR_13U_MESSAGESOURCE,LABEL,1,NULL,NO,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL,dbo,OSUSR_13U_MESSAGESOURCE,LABEL
Dart_MT,dbo,OSUSR_13U_MESSAGESOURCE,BASE TABLE,Dart_MT,dbo,OSUSR_13U_MESSAGESOURCE,ORDER,2,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_13U_MESSAGESOURCE,BASE TABLE,Dart_MT,dbo,OSUSR_13U_MESSAGESOURCE,IS_ACTIVE,3,NULL,YES,bit,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_13U_ROWEVENT,BASE TABLE,Dart_MT,dbo,OSUSR_13U_ROWEVENT,ID,1,NULL,NO,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL,dbo,OSUSR_13U_ROWEVENT,ID
Dart_MT,dbo,OSUSR_13U_SORT,BASE TABLE,Dart_MT,dbo,OSUSR_13U_SORT,NAME,1,NULL,NO,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL,dbo,OSUSR_13U_SORT,NAME
Dart_MT,dbo,OSUSR_13U_TRANSITION,BASE TABLE,Dart_MT,dbo,OSUSR_13U_TRANSITION,ID,1,NULL,NO,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL,dbo,OSUSR_13U_TRANSITION,ID
Dart_MT,dbo,OSUSR_13U_TRANSITION,BASE TABLE,Dart_MT,dbo,OSUSR_13U_TRANSITION,LABEL,2,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_13U_WIJMOTHEME,BASE TABLE,Dart_MT,dbo,OSUSR_13U_WIJMOTHEME,NAME,1,NULL,NO,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL,dbo,OSUSR_13U_WIJMOTHEME,NAME
Dart_MT,dbo,OSUSR_13U_WIJMOTHEME,BASE TABLE,Dart_MT,dbo,OSUSR_13U_WIJMOTHEME,LABEL,2,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_2BM_RULEMAPREPORT,BASE TABLE,Dart_MT,dbo,OSUSR_2BM_RULEMAPREPORT,REPORTID,1,NULL,NO,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dbo,OSUSR_2BM_RULEMAPREPORT,REPORTID
Dart_MT,dbo,OSUSR_2BM_RULEMAPREPORT,BASE TABLE,Dart_MT,dbo,OSUSR_2BM_RULEMAPREPORT,CONTENT,2,NULL,YES,varbinary,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_2BM_RULEMAPREPORT,BASE TABLE,Dart_MT,dbo,OSUSR_2BM_RULEMAPREPORT,FILENAME,3,NULL,YES,nvarchar,500,1000,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_2BM_RULEMAPREPORT,BASE TABLE,Dart_MT,dbo,OSUSR_2BM_RULEMAPREPORT,FILETYPE,4,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL,NULL,NULL,NULL
